Transaction ID,Transaction Date,Transaction TypeID,Transaction Amount,New Balance,Employee ID,Account ID,Customer ID,Login ID
1,31/12/2015,14,923107,805420629,59500,7.96253E+11,1530,3929299
2,02/09/2019,5,538222,2794298900,86244,6.52485E+11,1956,40380275
3,09/09/2018,13,713521,116347387,73139,5.30372E+11,1044,90821609
4,07/11/2016,10,55433,1032419637,76873,5.6468E+11,4672,97485060
5,03/11/2020,12,519028,3509505333,55807,7.15871E+11,82,30630321
6,05/09/2017,9,786030,1557996672,14248,7.42098E+11,128,56414132
7,25/11/2019,9,847158,2621512292,38678,1.09124E+11,4975,30103486
8,24/08/2016,12,244646,4283103781,81504,2.29702E+11,1139,68417363
9,14/03/2020,13,723903,2576082026,88940,7.6401E+11,5987,73560216
10,07/08/2017,5,841123,4509766419,14967,8.76653E+11,4388,27037304
11,19/03/2019,7,560492,306905485,56489,3.07387E+11,5774,33810651
12,26/07/2020,6,576648,3174724591,20045,5.71481E+11,4127,13927762
13,14/07/2015,13,399927,1060789736,87647,5.86974E+11,1281,35547219
14,15/10/2015,4,165189,322288663,82172,6.60568E+11,4069,42716777
15,25/03/2015,13,639912,3075726914,39908,9.02503E+11,344,41293427
16,21/04/2020,1,297599,33339510,93347,9.33163E+11,1977,83447137
17,31/10/2017,13,313893,2470975522,38658,7.20765E+11,5544,47691863
18,24/11/2016,2,148147,2603142395,59677,87549619116,1476,46235789
19,01/12/2019,14,755365,2715328154,74571,9.83841E+11,5751,28928374
20,16/11/2017,8,908812,4788485025,72981,4.64045E+11,2839,50417258
21,31/05/2016,14,866367,1898537453,27567,5.58883E+11,4902,81845952
22,05/10/2020,14,369037,523051259,83824,2.43439E+11,4625,22141596
23,18/07/2018,7,462256,471559440,42192,5.02012E+11,2800,51367649
24,05/12/2020,2,674018,4388241386,89320,7.06803E+11,2046,49324570
25,11/08/2019,12,541551,2878046972,49831,2.42313E+11,1208,48552480
26,23/10/2019,7,602208,509592626,81950,5.3916E+11,2359,69618094
27,25/11/2017,7,816192,1295354042,70806,6.49356E+11,3375,50403480
28,17/05/2020,8,900755,892656227,42379,5.57025E+11,3803,96062170
29,22/06/2020,11,459220,4907101190,40605,1.69071E+11,2056,87369130
30,16/01/2017,4,169639,2112615088,66015,9.36173E+11,759,10582356
31,07/10/2017,1,137386,4758977213,41152,3.85151E+11,4483,97697630
32,24/04/2020,5,904415,4614668520,69323,6.70953E+11,3374,36573860
33,11/10/2016,6,547908,1229187731,41219,2.26944E+11,5810,37757502
34,01/08/2016,2,905130,3845035580,28249,6.51695E+11,3709,20787713
35,06/10/2020,13,11643,3831221577,35406,6.25557E+11,564,58944211
36,14/02/2016,9,816465,4836487079,84807,1.06859E+11,675,98877234
37,08/10/2019,7,177782,2155739575,56518,49803441806,3734,48220911
38,15/11/2016,4,75620,1579099141,26363,5.08904E+11,5883,13403284
39,20/09/2020,13,435693,1299806553,57070,4.36986E+11,2751,97166117
40,27/06/2020,13,950815,1506883724,30525,6.67616E+11,1796,95928663
41,28/08/2019,4,557161,606619394,90932,3.66479E+11,2988,49566936
42,12/11/2015,10,34002,2264649181,63962,3.1605E+11,2631,41276030
43,02/11/2020,10,362622,3997724994,45412,2.51952E+11,2187,3242932
44,24/03/2019,9,355224,4539143432,67681,8.98718E+11,2181,55867709
45,29/01/2018,10,236913,2037432136,61062,1.43702E+11,5664,51919998
46,26/02/2015,6,338734,4952855851,96502,1.6082E+11,5026,26535281
47,19/06/2020,14,109858,4274301673,92604,5.64536E+11,3457,10928421
48,06/01/2018,11,827976,3389782359,91119,43689818184,3006,38065478
49,28/04/2017,14,842005,3185551558,39012,9.04732E+11,2314,37625445
50,03/05/2018,5,391344,3104202032,65694,5.04791E+11,1218,99622715
51,30/01/2015,10,556231,591900954,52332,93089667929,1962,74830592
52,27/05/2020,4,245925,290654870,74483,8.32551E+11,297,39261645
53,07/05/2020,14,453732,4793760185,54885,5.33327E+11,2896,75105385
54,09/02/2016,11,631854,3165121239,78521,5.98782E+11,3031,85724446
55,26/02/2018,6,868220,4481092558,35756,4.212E+11,5530,92215790
56,09/11/2015,5,679532,1408340773,27961,7.60389E+11,4420,20171172
57,06/03/2018,5,873913,1332122365,18100,8.52929E+11,5766,39909036
58,10/11/2017,14,562124,1274596720,20802,2907872624,1235,33780513
59,19/12/2015,8,849909,705968625,33920,6.70953E+11,3374,36573860
60,14/03/2018,7,397332,3117722406,38081,9.70546E+11,4015,9280106
61,16/03/2020,9,960981,3972810323,78556,1.19242E+11,4173,46738273
62,02/04/2020,4,191600,1485477643,49651,1.86399E+11,4859,27226220
63,30/10/2017,13,919709,190735622,30421,9.23344E+11,3613,55668125
64,13/10/2015,11,976684,1764978830,85113,3.05278E+11,3650,10729986
65,12/10/2020,10,166724,2519434098,90073,9.52216E+11,5521,12262853
66,09/02/2017,10,962261,2659382337,97265,5.61463E+11,5708,12136846
67,21/05/2016,5,800064,4651191150,19368,7.72162E+11,2148,47347462
68,28/10/2019,1,216038,178492816,51009,2.78942E+11,1625,43997532
69,26/07/2016,1,699085,454545316,31653,1.37092E+11,508,17788870
70,25/06/2016,9,785516,2350297881,99802,2.8577E+11,3592,72629371
71,31/12/2016,1,238766,3179692895,60944,9.21838E+11,2214,93956263
72,30/03/2018,10,55385,4549782540,77365,9.43562E+11,4661,4553071
73,16/04/2020,6,502052,3453825851,28865,9.59306E+11,3086,98217417
74,27/11/2017,3,727673,2196052076,72025,4.53953E+11,2413,7810434
75,16/11/2020,7,840677,2257332985,28577,3.48592E+11,2703,24623851
76,03/08/2020,13,128824,1159320209,28748,1.69663E+11,3866,17776287
77,25/06/2020,14,146051,537431368,36875,9.54415E+11,4536,31669568
78,25/05/2018,3,382243,1334724558,73294,7.59248E+11,357,44060462
79,09/05/2018,4,447127,1337637116,79597,1.50391E+11,174,880260
80,13/06/2017,5,974957,875311741,19434,4.76844E+11,5782,98931155
81,20/02/2018,13,798752,692538914,22395,7.68529E+11,4788,67354948
82,28/08/2017,2,265572,2260670873,58124,67721288685,716,14012713
83,25/09/2020,11,302103,1200884104,98942,5.49261E+11,3625,30930181
84,10/04/2020,1,201460,3214810257,19992,4.54753E+11,4428,62192874
85,22/12/2016,13,30000,3441898470,25496,5.84073E+11,4479,15637799
86,12/06/2015,6,25128,4602116947,69967,3.95041E+11,730,46547495
87,12/01/2019,11,930700,4186786183,30190,2.67582E+11,2574,61685907
88,17/09/2018,4,983024,2202146225,93653,1.72963E+11,3859,45760854
89,10/04/2016,3,544699,2346054551,33710,4.95058E+11,4077,6663680
90,20/07/2018,2,179328,1542107689,26201,4.80957E+11,3745,53855809
91,23/03/2016,9,672637,4554300036,63359,7.61804E+11,2026,66625109
92,24/11/2015,3,670256,147920140,76084,9.09493E+11,1055,46853772
93,20/12/2019,9,579535,666339714,69701,2.7005E+11,5849,38170067
94,16/08/2016,11,713139,1649082875,36509,3.45876E+11,2511,90497839
95,02/07/2019,11,86094,4066591498,41233,2.19234E+11,5107,29987225
96,03/01/2018,5,423119,2886466156,80789,3.9656E+11,1603,7350430
97,22/01/2015,3,744775,4767652897,23855,4.55694E+11,1655,68193164
98,24/11/2018,14,690935,4021198529,50760,6.02395E+11,992,65063002
99,03/07/2020,3,762200,972069370,49266,2.84538E+11,4153,81593826
100,19/08/2016,7,270800,4158050268,69426,9.69257E+11,5337,11881428
101,18/09/2015,10,509307,1517148932,44738,8.87106E+11,3817,18545322
102,28/06/2019,6,634764,4906415614,48148,6.02831E+11,4427,75172328
103,14/08/2016,3,112014,2726900630,63643,4.34729E+11,4482,27544645
104,23/05/2017,5,46782,3089317191,41977,4.71632E+11,4044,65328905
105,09/06/2016,9,886187,757294548,44996,3.05874E+11,4228,30557038
106,01/03/2015,4,434380,3023183636,22153,6.40533E+11,2998,11923416
107,30/04/2018,1,140581,3433122596,33935,3.88813E+11,5589,86553000
108,22/12/2020,2,141232,555834936,76002,3.53063E+11,1771,469886
109,28/02/2016,12,204923,2144837901,66355,9.78845E+11,1683,24320602
110,18/05/2017,3,429460,2734089502,27323,1.94603E+11,246,64448610
111,21/11/2019,1,381638,3258478731,72006,3.12717E+11,843,27385861
112,18/04/2019,7,375909,615483255,86935,9.27637E+11,1885,47671218
113,05/05/2015,9,537387,4373734507,42858,2.41186E+11,2459,76248282
114,25/06/2017,8,250561,1648968197,63139,79898389011,5483,16285665
115,13/09/2016,6,269933,1330696003,28523,4.84453E+11,2905,74957829
116,29/04/2020,10,111397,2745891279,75230,49872510576,4419,88514601
117,04/03/2020,7,953923,227202339,51547,33014430586,2477,17795211
118,02/10/2016,2,787488,80912048,33498,3.89545E+11,788,28147221
119,03/02/2019,10,165107,688606997,54145,1.36046E+11,1122,66852861
120,25/09/2017,5,607802,4457532274,51983,6.32474E+11,2306,20610329
121,21/11/2017,7,635156,4781021027,69812,8.15224E+11,1614,81013433
122,12/01/2018,7,862697,3699197716,44081,5.52765E+11,1795,82417103
123,09/04/2019,9,234184,3055164143,27880,3.26249E+11,5685,89471280
124,17/09/2019,6,967804,2890568271,52992,6.38225E+11,980,50084903
125,15/07/2020,6,774354,1895115739,12548,4.59303E+11,5367,60307427
126,26/09/2018,7,780047,1086493280,36617,6.62057E+11,4912,67171925
127,11/02/2019,6,428919,2995210426,83227,7.35458E+11,4331,81605174
128,18/11/2015,10,467612,893929131,94719,2.56156E+11,3013,60031654
129,16/05/2018,10,50303,849836013,49294,3.57706E+11,2743,43441206
130,17/11/2019,12,289669,671309721,41918,4.76772E+11,5737,31773989
131,03/12/2018,5,409485,1976821427,89363,7.71433E+11,4368,13625926
132,03/03/2017,11,181814,4635755177,10119,51683634997,74,84740934
133,24/07/2015,3,331259,3067187204,90459,1.91131E+11,4265,22902102
134,21/08/2017,14,960189,4342700494,41521,4.16117E+11,5110,3855487
135,17/09/2017,10,550713,174877378,79201,4.69968E+11,1933,73612269
136,01/09/2015,14,64387,2101862004,16970,3.35459E+11,4140,33370298
137,12/01/2016,11,534344,2231837321,56021,7.24429E+11,3400,39730028
138,29/03/2016,8,321150,834053498,42648,7.20108E+11,4674,4552751
139,05/08/2015,4,685643,1960323780,61222,2.31117E+11,5074,2073249
140,28/10/2015,7,31542,542432358,18369,9.0186E+11,553,83874878
141,19/06/2018,3,605984,2568400103,17389,5.84535E+11,2502,96524830
142,01/06/2019,9,443235,1891475512,52582,6.57823E+11,4135,78651709
143,21/04/2018,2,982022,771981154,81623,9.14096E+11,1224,17797443
144,25/03/2020,3,44444,3951128590,37716,5.06596E+11,1510,10582142
145,04/05/2017,4,678750,2186712107,44488,8.82449E+11,766,6297500
146,10/05/2020,5,443635,4809764992,47810,4.17708E+11,5027,69355237
147,18/08/2017,9,19337,2181305713,99604,4.47789E+11,335,16671096
148,16/07/2019,8,69982,2017846908,62388,74111345191,5692,92311792
149,02/10/2018,3,782499,2079652875,17936,2.65928E+11,2552,33041747
150,23/08/2019,13,907295,1360917219,64877,1.94281E+11,2796,35433545
151,22/01/2015,12,176991,3618010136,76132,7.61298E+11,2230,54613001
152,06/04/2017,3,449243,2621130877,83413,2.81829E+11,278,91366328
153,13/03/2018,13,173070,2357682137,40225,7.32275E+11,919,3925776
154,28/12/2017,6,609389,2789460667,76364,52907565962,3007,44624140
155,30/03/2015,1,486258,2084060206,82754,8.03044E+11,5234,34065086
156,18/07/2019,14,734950,3429376420,11549,72269276546,4756,27922463
157,01/12/2020,2,947815,2777980011,16664,9.80442E+11,4861,29368678
158,17/08/2015,8,700364,3878257010,76574,6.45545E+11,106,6366182
159,08/01/2017,6,253066,4625375053,10497,9.87765E+11,1000,32237810
160,30/08/2017,7,566845,1848804825,25440,1.8883E+11,3094,67017968
161,16/01/2018,13,591411,2669716965,43484,1.50341E+11,5894,32713821
162,11/09/2020,3,353888,2221208058,42272,7.2606E+11,1926,16588793
163,21/03/2015,9,269072,1531475904,62622,3.09743E+11,4134,26167035
164,18/12/2017,1,587269,4360088741,85524,6.25882E+11,3321,37395401
165,21/10/2016,5,726268,3541347930,10663,5.67474E+11,1450,96092572
166,18/09/2019,10,656922,1114381778,40588,7.0582E+11,1149,67274735
167,09/11/2015,12,778886,2998446828,18950,2.96236E+11,5747,36313328
168,22/04/2020,4,633761,1754922529,67776,2.64445E+11,446,31500005
169,17/05/2019,14,505891,1040139643,27673,7.92635E+11,1437,87021689
170,12/12/2017,2,644902,3289693277,77480,4456309889,1376,2305938
171,29/03/2017,7,500948,4966967486,10663,7.29178E+11,5703,92950557
172,29/11/2015,13,902324,3561031481,40635,4.53953E+11,2413,7810434
173,27/01/2019,14,257608,3617682163,65175,3.37695E+11,3136,95269482
174,11/05/2020,10,851909,4725443643,48186,4.60743E+11,3466,92896953
175,23/01/2015,12,930962,2474278076,58145,4.95455E+11,2981,73435575
176,20/05/2015,9,299083,1688804225,56220,55587383123,2493,4544951
177,02/04/2019,6,292791,4110726276,90347,2.28073E+11,3330,63991059
178,01/10/2020,13,851842,1219271062,74595,9.09908E+11,5485,11606876
179,16/03/2015,2,1340,3466983093,44730,8.61061E+11,3573,24149693
180,12/12/2015,5,196530,4744486620,64765,7.47476E+11,687,43523315
181,02/10/2018,9,460260,2556827092,36870,4.9766E+11,5534,56730242
182,26/03/2018,9,788044,1136431316,82809,1.62096E+11,1126,78435836
183,14/06/2018,10,717790,736243953,78849,7.98063E+11,2338,33151544
184,06/07/2015,12,283839,393905683,39280,1.72963E+11,3859,45760854
185,16/07/2020,10,731171,241133909,47489,2.8168E+11,1092,7491302
186,26/01/2018,14,371491,1091735590,39344,2.08628E+11,1584,13879132
187,24/06/2017,3,964331,4831421605,61473,4.13921E+11,2124,33070403
188,18/06/2015,1,840220,483688797,75409,3.03314E+11,2476,18098045
189,03/02/2015,12,434824,2412929769,13279,9.79272E+11,5848,67194417
190,17/03/2020,11,501954,1995731056,60670,5.35169E+11,5717,45529277
191,28/10/2017,4,441182,4339381472,29196,3.0698E+11,2845,27290897
192,06/06/2020,4,598969,3836141038,22426,3.02619E+11,2899,33680325
193,28/10/2020,7,479461,3016927769,55067,9.7323E+11,2481,46998662
194,23/06/2017,14,377960,4165907802,23110,4.01251E+11,3732,2317855
195,26/08/2020,1,78996,1249695623,22661,4.28958E+11,2252,85793571
196,29/09/2016,2,561898,2686634068,52857,5.74834E+11,1665,45377081
197,21/06/2019,1,396199,3307643769,75880,52392406561,1037,88302266
198,16/07/2019,12,103105,1182293329,66511,1.07586E+11,4848,89832434
199,26/12/2019,1,220132,4553304103,73410,7.02417E+11,1844,70820377
200,26/08/2019,12,172583,296283606,93336,8.60655E+11,2541,40205780
201,08/03/2017,13,773437,2515420564,64569,2.3905E+11,2508,92666809
202,29/06/2016,10,523473,4452182611,97799,4.25039E+11,1596,89144076
203,15/04/2020,11,687325,1947698117,96820,3.21152E+11,3445,41322278
204,19/07/2017,5,753615,3453220372,35015,4.60291E+11,211,9681396
205,28/03/2019,4,441559,2146957541,97870,37781863782,391,53354125
206,30/10/2019,5,560634,4828327427,16815,2.37638E+11,5892,72703884
207,19/05/2020,9,284939,901818130,77941,2.8168E+11,1092,7491302
208,13/12/2016,1,993703,2327494009,18317,6.85531E+11,1197,13757746
